Student_ID,Section,Year_Level,Gender,Attendance,Quiz_Avg,Lab_Avg,Midterm,Final,GWA,Risk_Level
STU0060,B,2,Male,93.0,65.0,84.0,65.0,85.0,76.6,Medium Risk
STU0061,D,3,Female,69.0,67.0,88.0,74.0,67.0,73.15,Medium Risk
STU0062,D,4,Female,95.0,86.0,77.0,96.0,88.0,88.1,Low Risk
STU0063,A,4,Male,73.0,68.0,77.0,92.0,85.0,80.55,Low Risk
STU0064,A,1,Female,90.0,96.0,61.0,67.0,69.0,74.4,Medium Risk
STU0065,B,4,Male,74.0,92.0,94.0,64.0,85.0,81.85,Low Risk
STU0066,D,2,Male,67.0,83.0,75.0,98.0,93.0,86.05,Low Risk
STU0067,A,4,Male,73.0,74.0,100.0,63.0,100.0,82.85,Low Risk
STU0068,B,1,Male,82.0,91.0,95.0,65.0,66.0,78.15,Medium Risk
STU0069,B,2,Female,,91.0,92.0,91.0,63.0,85.0,Low Risk
STU0070,A,4,Female,80.0,83.0,63.0,89.0,70.0,76.95,Medium Risk
STU0071,D,4,Female,75.0,100.0,92.0,94.0,88.0,91.4,Low Risk
STU0072,C,3,Female,77.0,71.0,73.0,,95.0,85.0,Low Risk
STU0073,C,1,Male,83.0,98.0,80.0,75.0,84.0,83.65,Low Risk
STU0074,B,4,Female,85.0,61.0,79.0,72.0,80.0,74.5,Medium Risk
STU0075,C,3,Male,84.0,62.0,67.0,,95.0,80.2,Low Risk
STU0076,C,2,Male,100.0,96.0,66.0,78.0,69.0,79.15,Medium Risk
STU0077,A,3,Female,88.0,76.0,62.0,76.0,96.0,79.4,Medium Risk
STU0078,B,3,Male,74.0,61.0,76.0,78.0,68.0,71.3,Medium Risk
STU0079,D,4,Female,60.0,61.0,,87.0,83.0,79.1,Medium Risk
STU0080,B,4,Female,84.0,87.0,71.0,85.0,94.0,84.75,Low Risk
STU0081,A,4,Female,66.0,82.0,81.0,96.0,94.0,86.7,Low Risk
STU0082,C,3,Female,68.0,96.0,81.0,85.0,95.0,87.2,Low Risk
STU0083,D,2,Female,83.0,91.0,89.0,82.0,77.0,84.05,Low Risk
STU0084,B,1,Male,60.0,92.0,97.0,68.0,98.0,85.3,Low Risk
STU0085,C,3,Female,67.0,60.0,97.0,71.0,91.0,78.6,Medium Risk
STU0086,B,4,Female,83.0,78.0,67.0,60.0,83.0,73.05,Medium Risk
STU0087,D,1,Male,70.0,61.0,86.0,60.0,82.0,71.9,Medium Risk
STU0088,B,2,Female,76.0,85.0,86.0,93.0,91.0,87.8,Low Risk
STU0089,B,1,Female,67.0,91.0,93.0,91.0,96.0,90.25,Low Risk
STU0090,B,4,Male,94.0,65.0,80.0,84.0,71.0,77.15,Medium Risk
STU0091,C,3,Male,94.0,91.0,89.0,,72.0,88.15,Low Risk
STU0092,D,3,Female,92.0,63.0,92.0,60.0,82.0,75.7,Medium Risk
STU0093,D,4,Male,64.0,70.0,87.0,75.0,84.0,77.55,Medium Risk
STU0094,C,3,Female,98.0,76.0,92.0,98.0,94.0,91.4,Low Risk
STU0095,C,4,Male,100.0,97.0,64.0,64.0,100.0,83.2,Low Risk
STU0096,C,3,Female,87.0,83.0,78.0,81.0,89.0,83.4,Low Risk
STU0097,A,3,Female,66.0,64.0,63.0,88.0,76.0,73.0,Medium Risk
STU0098,B,3,Female,68.0,93.0,94.0,62.0,79.0,79.45,Medium Risk
STU0099,B,2,Male,67.0,65.0,76.0,71.0,84.0,73.65,Medium Risk
STU0100,D,2,Female,,81.0,87.0,85.0,81.0,82.2,Low Risk
STU0101,C,4,Male,82.0,78.0,75.0,74.0,78.0,76.8,Medium Risk
STU0102,D,4,Male,70.0,69.0,79.0,73.0,69.0,72.1,Medium Risk
STU0103,B,2,Male,79.0,84.0,77.0,83.0,82.0,81.35,Low Risk
STU0104,C,2,Female,79.0,70.0,72.0,74.0,76.0,73.8,Medium Risk
STU0105,D,4,Male,93.0,97.0,88.0,100.0,81.0,91.55,Low Risk
STU0106,A,4,Female,79.0,75.0,82.0,70.0,81.0,77.05,Medium Risk
STU0107,B,2,Female,69.0,73.0,77.0,71.0,79.0,74.4,Medium Risk
STU0108,A,4,Male,95.0,94.0,87.0,93.0,87.0,90.7,Low Risk
STU0109,A,3,Male,80.0,76.0,82.0,80.0,68.0,76.6,Medium Risk
STU0110,D,3,Male,91.0,87.0,90.0,98.0,96.0,93.0,Low Risk
STU0111,A,4,Female,84.0,89.0,,88.0,86.0,86.9,Low Risk
STU0112,B,3,Male,83.0,72.0,70.0,79.0,75.0,75.2,Medium Risk
STU0113,A,2,Male,72.0,82.0,81.0,70.0,68.0,74.3,Medium Risk
STU0114,D,1,Male,86.0,88.0,94.0,94.0,89.0,90.75,Low Risk
STU0115,A,3,Male,61.0,71.0,58.0,59.0,61.0,61.9,High Risk
STU0116,B,1,Male,80.0,74.0,69.0,77.0,80.0,75.85,Medium Risk
STU0117,B,1,Male,91.0,91.0,99.0,90.0,86.0,91.1,Low Risk
STU0118,D,3,Male,80.0,76.0,70.0,74.0,73.0,73.95,Medium Risk
STU0119,D,1,Female,68.0,77.0,79.0,82.0,76.0,77.5,Medium Risk
STU0120,A,1,Male,99.0,91.0,86.0,81.0,82.0,86.05,Low Risk
STU0121,A,3,Female,96.0,81.0,81.0,84.0,80.0,83.0,Low Risk
STU0122,C,2,Female,,60.0,58.0,65.0,71.0,64.2,High Risk
STU0123,A,1,Female,69.0,73.0,78.0,83.0,83.0,78.6,Medium Risk
STU0124,D,1,Male,83.0,70.0,,70.0,74.0,72.5,Medium Risk
STU0125,C,3,Female,74.0,75.0,68.0,78.0,77.0,74.75,Medium Risk
STU0126,B,4,Male,63.0,71.0,56.0,55.0,70.0,62.95,High Risk
STU0127,D,3,Female,88.0,88.0,82.0,98.0,95.0,91.05,Low Risk
STU0128,D,2,Female,80.0,99.0,90.0,96.0,87.0,91.55,Low Risk
STU0129,B,3,Female,70.0,83.0,70.0,81.0,69.0,75.1,Medium Risk
STU0130,A,4,Female,83.0,80.0,,80.0,93.0,84.15,Low Risk
STU0131,D,4,Male,75.0,74.0,70.0,84.0,68.0,74.3,Medium Risk
STU0132,C,3,Female,81.0,73.0,73.0,80.0,75.0,76.05,Medium Risk
STU0133,C,4,Male,68.0,82.0,68.0,72.0,83.0,75.55,Medium Risk
STU0134,C,4,Male,96.0,91.0,93.0,100.0,85.0,92.65,Low Risk
STU0135,D,3,Male,96.0,93.0,100.0,82.0,80.0,88.7,Low Risk
STU0136,B,4,Female,68.0,70.0,77.0,70.0,75.0,72.45,Medium Risk
STU0137,A,1,Male,69.0,77.0,69.0,84.0,75.0,75.85,Medium Risk
STU0138,A,4,Male,74.0,77.0,70.0,80.0,74.0,75.3,Medium Risk
STU0139,C,3,Male,62.0,68.0,70.0,68.0,66.0,67.3,High Risk
STU0140,B,3,Female,69.0,84.0,77.0,73.0,82.0,77.85,Medium Risk
STU0141,D,2,Male,75.0,79.0,79.0,72.0,74.0,75.6,Medium Risk
STU0142,A,2,Female,68.0,69.0,57.0,62.0,70.0,65.0,High Risk
STU0143,B,2,Male,84.0,72.0,76.0,79.0,68.0,74.75,Medium Risk
STU0144,A,3,Female,83.0,75.0,80.0,68.0,83.0,77.05,Medium Risk
STU0145,D,1,Male,70.0,79.0,83.0,72.0,81.0,77.65,Medium Risk
STU0146,A,3,Female,68.0,59.0,66.0,70.0,70.0,66.8,High Risk
STU0147,B,4,Male,68.0,59.0,64.0,59.0,,60.65,High Risk
STU0148,D,4,Female,57.0,55.0,59.0,67.0,58.0,59.75,High Risk
STU0149,A,3,Male,84.0,79.0,70.0,68.0,68.0,72.2,Medium Risk
STU0150,C,4,Male,82.0,80.0,80.0,87.0,89.0,84.2,Low Risk
STU0151,B,4,Male,69.0,68.0,56.0,57.0,71.0,63.7,High Risk
STU0152,B,1,Female,81.0,98.0,88.0,,83.0,87.55,Low Risk
STU0153,D,4,Male,71.0,71.0,77.0,72.0,76.0,73.7,Medium Risk
STU0154,D,4,Male,95.0,83.0,97.0,96.0,86.0,91.0,Low Risk
STU0155,A,2,Male,84.0,91.0,96.0,92.0,82.0,89.3,Low Risk
STU0156,A,1,Male,83.0,80.0,84.0,71.0,79.0,78.6,Medium Risk
STU0157,C,4,Male,61.0,68.0,69.0,70.0,59.0,65.75,High Risk
STU0158,B,3,Female,71.0,83.0,74.0,80.0,77.0,77.75,Medium Risk
STU0159,D,1,Female,72.0,70.0,78.0,78.0,82.0,76.8,Medium Risk
STU0160,D,2,Male,96.0,85.0,86.0,93.0,92.0,90.05,Low Risk
STU0161,D,4,Male,81.0,84.0,84.0,85.0,98.0,87.45,Low Risk
STU0162,B,4,Male,84.0,74.0,80.0,71.0,71.0,74.7,Medium Risk
STU0163,A,1,Female,79.0,74.0,77.0,74.0,70.0,74.1,Medium Risk
STU0164,A,4,Female,75.0,76.0,74.0,68.0,70.0,72.0,Medium Risk
STU0165,A,4,Male,84.0,68.0,73.0,73.0,79.0,74.6,Medium Risk
STU0166,C,3,Female,59.0,70.0,65.0,59.0,58.0,62.15,High Risk
STU0167,C,1,Male,69.0,63.0,71.0,68.0,69.0,67.95,High Risk
STU0168,D,4,Female,70.0,83.0,78.0,79.0,77.0,78.2,Medium Risk
STU0169,D,4,Male,75.0,71.0,75.0,72.0,76.0,73.7,Medium Risk
STU0170,A,1,Female,84.0,76.0,68.0,80.0,,77.95,Medium Risk
STU0171,D,2,Female,60.0,59.0,69.0,56.0,64.0,61.6,High Risk
STU0172,C,1,Female,72.0,68.0,68.0,82.0,84.0,75.9,Medium Risk
STU0173,C,3,Male,84.0,80.0,68.0,69.0,76.0,74.25,Medium Risk
STU0174,B,3,Male,61.0,60.0,71.0,59.0,59.0,61.8,High Risk
STU0175,A,2,Male,72.0,77.0,77.0,84.0,81.0,79.25,Medium Risk
STU0176,D,2,Female,92.0,83.0,80.0,96.0,87.0,87.55,Low Risk
STU0177,B,4,Male,74.0,69.0,70.0,79.0,68.0,71.95,Medium Risk
STU0178,A,1,Female,65.0,71.0,70.0,69.0,69.0,69.2,High Risk
STU0179,B,2,Male,74.0,73.0,69.0,73.0,69.0,71.3,Medium Risk
STU0180,C,1,Male,69.0,73.0,68.0,82.0,77.0,74.85,Medium Risk
STU0181,D,1,Female,89.0,96.0,89.0,96.0,99.0,94.65,Low Risk
STU0182,C,3,Male,69.0,,78.0,78.0,,78.75,Medium Risk
STU0183,D,4,Female,61.0,70.0,65.0,70.0,62.0,66.1,High Risk
STU0184,A,1,Male,70.0,70.0,72.0,77.0,73.0,72.9,Medium Risk
STU0185,C,1,Female,81.0,69.0,84.0,81.0,80.0,78.95,Medium Risk
STU0186,A,4,Male,94.0,90.0,95.0,96.0,83.0,91.15,Low Risk
STU0187,A,2,Female,82.0,82.0,81.0,81.0,69.0,78.3,Medium Risk
STU0188,C,3,Female,57.0,61.0,57.0,69.0,68.0,63.55,High Risk
STU0189,D,2,Male,64.0,60.0,57.0,69.0,59.0,61.8,High Risk
STU0190,B,3,Male,74.0,79.0,84.0,80.0,71.0,77.75,Medium Risk
STU0191,D,4,Male,82.0,71.0,82.0,69.0,82.0,76.55,Medium Risk
STU0192,C,4,Male,77.0,76.0,72.0,73.0,69.0,72.8,Medium Risk
STU0193,B,3,Female,84.0,80.0,100.0,100.0,85.0,90.65,Low Risk
STU0194,D,4,Male,65.0,63.0,57.0,62.0,59.0,60.75,High Risk
STU0195,B,1,Female,99.0,90.0,83.0,94.0,85.0,89.25,Low Risk
STU0196,B,3,Male,57.0,56.0,69.0,65.0,62.0,62.45,High Risk
STU0197,D,1,Female,85.0,83.0,98.0,99.0,80.0,89.45,Low Risk
STU0198,C,4,Male,64.0,68.0,60.0,59.0,,63.0,High Risk
STU0199,D,2,Male,68.0,73.0,77.0,72.0,77.0,74.05,Medium Risk
STU0200,C,3,Female,68.0,72.0,76.0,84.0,76.0,76.4,Medium Risk
STU0201,A,4,Male,70.0,84.0,72.0,79.0,81.0,78.2,Medium Risk
STU0202,D,2,Female,91.0,82.0,82.0,80.0,87.0,83.65,Low Risk
STU0203,D,2,Male,87.0,90.0,88.0,84.0,93.0,88.55,Low Risk
STU0204,A,2,Female,59.0,68.0,58.0,67.0,64.0,63.85,High Risk
STU0205,A,1,Male,75.0,81.0,73.0,,82.0,75.8,Medium Risk
STU0206,C,3,Male,81.0,93.0,100.0,87.0,87.0,90.2,Low Risk
STU0207,C,1,Male,70.0,74.0,75.0,77.0,82.0,76.55,Medium Risk
STU0208,C,3,Male,74.0,71.0,73.0,68.0,72.0,71.2,Medium Risk
STU0209,A,2,Female,60.0,56.0,64.0,59.0,64.0,60.75,High Risk
STU0210,A,1,Male,82.0,71.0,80.0,82.0,75.0,77.65,Medium Risk
STU0211,C,1,Female,80.0,69.0,71.0,,78.0,73.25,Medium Risk
STU0212,C,3,Female,64.0,,60.0,60.0,62.0,61.3,High Risk
STU0213,C,4,Female,91.0,92.0,87.0,97.0,80.0,89.15,Low Risk
STU0214,D,1,Female,79.0,71.0,83.0,71.0,72.0,74.45,Medium Risk
STU0215,B,3,Male,84.0,76.0,81.0,75.0,76.0,77.55,Medium Risk
STU0216,C,1,Male,59.0,68.0,58.0,55.0,62.0,60.35,High Risk
STU0217,B,2,Male,63.0,64.0,63.0,57.0,65.0,62.2,High Risk
STU0218,D,2,Male,69.0,84.0,78.0,79.0,74.0,77.55,Medium Risk
STU0219,C,1,Female,96.0,90.0,97.0,100.0,96.0,96.0,Low Risk
STU0220,B,3,Male,75.0,,74.0,68.0,80.0,76.1,Medium Risk
STU0221,B,3,Male,84.0,80.0,83.0,75.0,68.0,76.75,Medium Risk
STU0222,A,3,Male,84.0,73.0,71.0,68.0,75.0,72.95,Medium Risk
STU0223,D,1,Male,89.0,89.0,98.0,93.0,81.0,89.8,Low Risk
STU0224,D,3,Male,97.0,86.0,87.0,80.0,82.0,84.8,Low Risk
STU0225,D,3,Female,75.0,82.0,72.0,70.0,68.0,72.8,Medium Risk
STU0226,D,4,Male,62.0,68.0,68.0,65.0,70.0,67.15,High Risk
STU0227,A,3,Male,68.0,70.0,61.0,64.0,61.0,64.25,High Risk
STU0228,A,4,Male,67.0,58.0,56.0,55.0,69.0,60.5,High Risk
STU0229,B,4,Female,69.0,70.0,79.0,,72.0,72.7,Medium Risk
STU0230,B,4,Male,79.0,70.0,79.0,84.0,77.0,77.95,Medium Risk
STU0231,A,4,Female,96.0,97.0,98.0,96.0,93.0,95.85,Low Risk
STU0232,B,2,Male,74.0,76.0,78.0,81.0,,76.2,Medium Risk
STU0233,D,1,Female,61.0,59.0,65.0,60.0,64.0,61.9,High Risk
STU0234,C,4,Female,59.0,60.0,66.0,64.0,60.0,62.1,High Risk
STU0235,D,2,Female,74.0,77.0,80.0,84.0,81.0,80.05,Low Risk
STU0236,B,1,Male,80.0,98.0,100.0,83.0,98.0,92.85,Low Risk
STU0237,C,2,Female,90.0,83.0,96.0,86.0,87.0,88.05,Low Risk
STU0238,D,3,Male,72.0,68.0,71.0,82.0,70.0,73.0,Medium Risk
STU0239,A,1,Male,80.0,78.0,69.0,76.0,69.0,73.65,Medium Risk
STU0240,C,3,Female,68.0,78.0,75.0,77.0,74.0,75.15,Medium Risk
STU0241,C,1,Female,91.0,98.0,85.0,81.0,91.0,88.7,Low Risk
STU0242,D,2,Female,96.0,96.0,89.0,96.0,94.0,94.1,Low Risk
STU0243,B,4,Male,87.0,,96.0,84.0,95.0,92.65,Low Risk
STU0244,D,2,Female,,94.0,88.0,92.0,94.0,92.0,Low Risk
STU0245,C,1,Male,100.0,86.0,93.0,94.0,100.0,94.3,Low Risk
STU0246,B,3,Female,97.0,97.0,99.0,86.0,82.0,90.9,Low Risk
STU0247,C,1,Male,81.0,70.0,79.0,80.0,69.0,75.15,Medium Risk
STU0248,A,2,Male,,74.0,82.0,84.0,71.0,77.85,Medium Risk
STU0249,B,2,Male,80.0,95.0,92.0,89.0,91.0,90.4,Low Risk
STU0250,B,4,Male,69.0,80.0,80.0,70.0,74.0,74.9,Medium Risk
STU0251,A,2,Female,100.0,91.0,95.0,91.0,94.0,93.45,Low Risk
STU0252,A,2,Female,74.0,72.0,68.0,84.0,70.0,73.9,Medium Risk
STU0253,C,1,Male,71.0,72.0,83.0,68.0,81.0,75.35,Medium Risk
STU0254,D,2,Male,71.0,79.0,72.0,72.0,78.0,74.8,Medium Risk
STU0255,D,4,Male,93.0,90.0,92.0,81.0,86.0,87.45,Low Risk
STU0256,A,2,Male,80.0,81.0,77.0,78.0,69.0,76.35,Medium Risk
STU0257,C,1,Male,57.0,60.0,59.0,59.0,69.0,61.5,High Risk
STU0258,B,1,Female,96.0,89.0,82.0,97.0,97.0,92.3,Low Risk
STU0259,D,2,Male,82.0,85.0,92.0,94.0,88.0,89.1,Low Risk
STU0260,D,2,Male,63.0,57.0,,57.0,56.0,58.55,High Risk
STU0261,D,3,Male,72.0,78.0,69.0,82.0,73.0,75.35,Medium Risk
STU0262,D,1,Male,56.0,60.0,59.0,70.0,67.0,63.65,High Risk
STU0263,B,4,Male,87.0,92.0,98.0,82.0,87.0,88.95,Low Risk
STU0264,D,1,Male,80.0,85.0,98.0,95.0,87.0,90.1,Low Risk
STU0265,B,4,Male,88.0,92.0,90.0,92.0,100.0,93.2,Low Risk
STU0266,B,4,Male,74.0,72.0,78.0,80.0,77.0,76.65,Medium Risk
STU0267,A,4,Male,74.0,71.0,69.0,81.0,80.0,75.65,Medium Risk
STU0268,D,3,Female,67.0,68.0,71.0,63.0,71.0,68.0,High Risk
STU0269,B,1,Female,80.0,70.0,83.0,73.0,74.0,75.35,Medium Risk
STU0270,B,4,Male,94.0,84.0,83.0,99.0,83.0,88.3,Low Risk
STU0271,D,3,Male,66.0,71.0,64.0,55.0,68.0,64.35,High Risk
STU0272,B,3,Male,70.0,79.0,74.0,78.0,68.0,74.1,Medium Risk
STU0273,A,3,Male,90.0,81.0,93.0,81.0,83.0,84.8,Low Risk
STU0274,B,4,Female,94.0,90.0,99.0,81.0,94.0,90.95,Low Risk
STU0275,A,3,Female,57.0,71.0,66.0,69.0,70.0,67.85,High Risk
STU0276,B,1,Male,72.0,70.0,68.0,73.0,82.0,73.55,Medium Risk
STU0277,C,4,Female,63.0,66.0,69.0,66.0,70.0,67.3,High Risk
STU0278,C,1,Female,55.0,62.0,69.0,68.0,61.0,63.95,High Risk
STU0279,A,2,Female,70.0,81.0,82.0,81.0,74.0,78.35,Medium Risk
STU0280,C,4,Male,76.0,73.0,83.0,69.0,75.0,74.8,Medium Risk
STU0281,A,1,Male,59.0,68.0,69.0,60.0,,64.55,High Risk
STU0282,A,4,Male,88.0,87.0,90.0,98.0,88.0,90.7,Low Risk
STU0283,D,2,Female,82.0,83.0,68.0,,75.0,76.4,Medium Risk
STU0284,A,4,Female,55.0,55.0,63.0,67.0,55.0,59.6,High Risk
STU0285,B,2,Male,69.0,73.0,74.0,81.0,82.0,77.05,Medium Risk
STU0286,B,1,Male,75.0,78.0,70.0,73.0,76.0,74.35,Medium Risk
STU0287,C,3,Male,76.0,79.0,75.0,75.0,82.0,77.65,Medium Risk
STU0288,D,2,Female,83.0,71.0,73.0,70.0,76.0,73.6,Medium Risk
STU0289,C,2,Male,60.0,66.0,66.0,67.0,67.0,65.9,High Risk
STU0290,D,2,Female,83.0,92.0,87.0,100.0,98.0,93.6,Low Risk
STU0291,A,1,Female,72.0,76.0,70.0,77.0,70.0,73.15,Medium Risk
STU0292,D,4,Female,55.0,61.0,66.0,71.0,59.0,63.4,High Risk
STU0293,B,1,Female,97.0,96.0,98.0,88.0,83.0,91.25,Low Risk
STU0294,C,2,Male,69.0,82.0,69.0,71.0,73.0,73.1,Medium Risk
STU0295,A,3,Female,79.0,70.0,80.0,75.0,82.0,77.15,Medium Risk
STU0296,B,3,Male,83.0,77.0,79.0,81.0,81.0,80.0,Low Risk
STU0297,A,4,Female,92.0,88.0,94.0,93.0,86.0,90.35,Low Risk
STU0298,C,1,Female,55.0,56.0,57.0,59.0,59.0,57.6,High Risk
STU0299,C,2,Female,71.0,80.0,82.0,78.0,77.0,78.25,Medium Risk
STU0300,D,4,Male,77.0,79.0,76.0,68.0,72.0,73.7,Medium Risk
STU0301,D,1,Male,99.0,90.0,84.0,94.0,84.0,89.2,Low Risk
STU0302,C,1,Female,91.0,94.0,94.0,85.0,91.0,90.7,Low Risk
STU0303,B,1,Male,69.0,76.0,72.0,68.0,70.0,71.0,Medium Risk
STU0304,D,1,Female,55.0,71.0,68.0,66.0,64.0,65.8,High Risk
STU0305,C,2,Male,90.0,81.0,97.0,86.0,94.0,89.6,Low Risk
STU0306,C,4,Male,80.0,83.0,77.0,75.0,68.0,75.75,Medium Risk
STU0307,C,3,Female,72.0,82.0,82.0,69.0,68.0,74.25,Medium Risk
STU0308,D,3,Female,84.0,75.0,82.0,75.0,84.0,79.55,Medium Risk
STU0309,B,1,Female,83.0,80.0,80.0,98.0,95.0,88.55,Low Risk
STU0310,A,4,Male,69.0,73.0,76.0,68.0,76.0,72.7,Medium Risk
STU0311,A,2,Female,92.0,88.0,90.0,83.0,81.0,85.8,Low Risk
STU0312,A,3,Male,,85.0,81.0,97.0,92.0,90.25,Low Risk
STU0313,D,2,Male,80.0,86.0,100.0,94.0,80.0,88.7,Low Risk
STU0314,B,2,Male,68.0,84.0,84.0,70.0,79.0,77.65,Medium Risk
STU0315,A,3,Male,81.0,81.0,77.0,69.0,81.0,77.2,Medium Risk
STU0316,A,2,Female,95.0,81.0,85.0,100.0,91.0,90.45,Low Risk
STU0317,C,2,Female,79.0,71.0,82.0,78.0,83.0,78.75,Medium Risk
STU0318,A,4,Male,78.0,80.0,78.0,83.0,82.0,80.65,Low Risk
STU0319,B,1,Female,78.0,82.0,71.0,80.0,,75.65,Medium Risk
STU0320,B,4,Female,81.0,,70.0,75.0,83.0,78.0,Medium Risk
STU0321,C,4,Female,84.0,80.0,71.0,78.0,74.0,76.6,Medium Risk
STU0322,D,4,Female,86.0,96.0,89.0,89.0,83.0,88.6,Low Risk
STU0323,C,1,Male,80.0,91.0,92.0,89.0,94.0,90.35,Low Risk
STU0324,D,4,Female,76.0,76.0,82.0,77.0,77.0,77.7,Medium Risk
STU0325,A,2,Male,72.0,71.0,71.0,74.0,77.0,73.35,Medium Risk
STU0326,D,2,Male,68.0,72.0,82.0,84.0,70.0,76.1,Medium Risk
STU0327,D,3,Female,84.0,83.0,72.0,82.0,70.0,77.4,Medium Risk
STU0328,C,1,Female,76.0,81.0,80.0,69.0,70.0,74.55,Medium Risk
STU0329,D,4,Female,74.0,76.0,84.0,78.0,74.0,77.4,Medium Risk
STU0330,B,4,Female,64.0,60.0,64.0,61.0,67.0,63.2,High Risk
